Pozo,date,bppd,bapd,bsw,mscf,pres,temp,co2_frac,Cl,Na,SO4,Fe,bicarb,Ca,criticidad,mpy
SHS-14,10/26/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.428
SHS-95,10/26/2018,119.7,441.6,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.365
AGR-14,10/27/2018,209.4,2920.98,89.5,167,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.647
SHS-70,10/27/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.427
AGR-30,10/27/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.932
SHS-135,10/27/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.615
SHS-49,10/27/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.892
SHS-25,10/27/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.901
SHS-199,10/27/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.82
SHS-154,10/27/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.86
SHS-261,10/27/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.355
SHS-81,10/27/2018,369.41,507.99,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.227
SHS-72,10/27/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,2.026
SHS-14,10/27/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.078
SHS-95,10/27/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.417
AGR-14,10/28/2018,209.4,2920.98,89.5,167,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.448
SHS-70,10/28/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.761
AGR-30,10/28/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.185
SHS-135,10/28/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.091
SHS-49,10/28/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.082
SHS-25,10/28/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.641
SHS-199,10/28/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.087
SHS-154,10/28/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.438
SHS-261,10/28/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.662
SHS-81,10/28/2018,369.41,507.99,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.887
SHS-72,10/28/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,2.582
SHS-14,10/28/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.975
SHS-95,10/28/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.105
AGR-14,10/29/2018,209.4,2920.98,89.5,167,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.394
SHS-70,10/29/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.976
AGR-30,10/29/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.91
SHS-135,10/29/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.866
SHS-49,10/29/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.249
SHS-25,10/29/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.716
SHS-199,10/29/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.288
SHS-154,10/29/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.626
SHS-261,10/29/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.559
SHS-81,10/29/2018,369.41,525.1,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.11
SHS-72,10/29/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,1.152
SHS-14,10/29/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.423
SHS-95,10/29/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.196
AGR-14,10/30/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.516
SHS-70,10/30/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.793
AGR-30,10/30/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.475
SHS-135,10/30/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.187
SHS-49,10/30/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.06
SHS-25,10/30/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.252
SHS-199,10/30/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.643
SHS-154,10/30/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.727
SHS-261,10/30/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.058
SHS-81,10/30/2018,369.41,525.1,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.739
SHS-72,10/30/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,1.792
SHS-14,10/30/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.2
SHS-95,10/30/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.49
AGR-14,10/31/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.315
SHS-70,10/31/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.43
AGR-30,10/31/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.481
SHS-135,10/31/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.25
SHS-49,10/31/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.849
SHS-25,10/31/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.879
SHS-199,10/31/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.774
SHS-154,10/31/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.39
SHS-261,10/31/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.731
SHS-81,10/31/2018,369.41,525.1,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.456
SHS-72,10/31/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,3.21
SHS-14,10/31/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.071
SHS-95,10/31/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.035
AGR-14,11/1/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.311
SHS-70,11/1/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.46
AGR-30,11/1/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.232
SHS-135,11/1/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.237
SHS-49,11/1/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.272
SHS-25,11/1/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.205
SHS-199,11/1/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.148
SHS-154,11/1/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.687
SHS-261,11/1/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.432
SHS-81,11/1/2018,369.41,525.1,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.66
SHS-72,11/1/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,1.086
SHS-14,11/1/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.89
SHS-95,11/1/2018,119.7,438.24,80,132,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.185
AGR-14,11/2/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.223
SHS-70,11/2/2018,53.82,361.224,87,14.33,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.88
AGR-30,11/2/2018,1032.24,2296,76,269.3,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.864
SHS-135,11/2/2018,119.2,183.68,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.162
SHS-49,11/2/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.142
SHS-25,11/2/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.375
SHS-199,11/2/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.78
SHS-154,11/2/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.9
SHS-261,11/2/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.469
SHS-81,11/2/2018,369.41,525.1,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.027
SHS-72,11/2/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.12
SHS-14,11/2/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.041
SHS-95,11/2/2018,119.7,438.24,80,178.02,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.736
AGR-14,11/3/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.621
SHS-70,11/3/2018,53.82,361.224,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.241
AGR-30,11/3/2018,1032.24,2296,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.447
SHS-135,11/3/2018,119.2,184.32,60,55.47,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.16
SHS-49,11/3/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.714
SHS-25,11/3/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.49
SHS-199,11/3/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.338
SHS-154,11/3/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.416
SHS-261,11/3/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.176
SHS-81,11/3/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.472
SHS-72,11/3/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.975
SHS-14,11/3/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.929
SHS-95,11/3/2018,119.7,431.64,80,178.02,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.271
AGR-14,11/4/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.448
SHS-70,11/4/2018,53.82,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.831
AGR-30,11/4/2018,1032.24,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.428
SHS-135,11/4/2018,119.2,184.32,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.363
SHS-49,11/4/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.633
SHS-25,11/4/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.071
SHS-199,11/4/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.141
SHS-154,11/4/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.236
SHS-261,11/4/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.525
SHS-81,11/4/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.602
SHS-72,11/4/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,3.379
SHS-14,11/4/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.379
SHS-95,11/4/2018,119.7,462,80,178.02,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.776
AGR-14,11/5/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.224
SHS-70,11/5/2018,53.82,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.196
AGR-30,11/5/2018,1032.24,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.563
SHS-135,11/5/2018,119.2,180.48,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.437
SHS-49,11/5/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.576
SHS-25,11/5/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.94
SHS-199,11/5/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.665
SHS-154,11/5/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.7
SHS-261,11/5/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.76
SHS-81,11/5/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.151
SHS-72,11/5/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,2.127
SHS-14,11/5/2018,245.1,952.32,75,60,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.92
SHS-95,11/5/2018,119.7,462,80,178.02,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.358
AGR-14,11/6/2018,209.4,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.244
SHS-70,11/6/2018,53.82,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.876
AGR-30,11/6/2018,1032.24,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.649
SHS-135,11/6/2018,119.2,180.48,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.712
SHS-49,11/6/2018,160.65,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.66
SHS-25,11/6/2018,350.2,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.964
SHS-199,11/6/2018,796.25,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.005
SHS-154,11/6/2018,108.8,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.588
SHS-261,11/6/2018,601.8,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.514
SHS-81,11/6/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.527
SHS-72,11/6/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.351
SHS-14,11/6/2018,245.1,952.32,75,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.048
SHS-95,11/6/2018,119.7,462,80,178.02,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.116
AGR-14,11/8/2018,361.02,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.359
SHS-70,11/8/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.039
AGR-30,11/8/2018,985.5,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.021
SHS-135,11/8/2018,101.52,180.48,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.583
SHS-49,11/8/2018,251,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.61
SHS-25,11/8/2018,301.4,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.382
SHS-199,11/8/2018,113.96,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.584
SHS-154,11/8/2018,116.16,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.997
SHS-261,11/8/2018,586.5,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.366
SHS-81,11/8/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.652
SHS-72,11/8/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,1.013
SHS-14,11/8/2018,245.1,1048.28,75,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.248
SHS-95,11/8/2018,119.7,462,80,185,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.499
AGR-14,11/9/2018,361.02,2920.98,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.224
SHS-70,11/9/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.839
AGR-30,11/9/2018,985.5,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.91
SHS-135,11/9/2018,101.52,180.48,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.478
SHS-49,11/9/2018,251,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.156
SHS-25,11/9/2018,301.4,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.529
SHS-199,11/9/2018,113.96,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.264
SHS-154,11/9/2018,116.16,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.93
SHS-261,11/9/2018,586.5,563.5,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.318
SHS-81,11/9/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.687
SHS-72,11/9/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.648
SHS-14,11/9/2018,245.1,1048.28,75,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.599
SHS-95,11/9/2018,119.7,462,80,185,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.473
AGR-14,11/10/2018,361.02,2925.43,89.5,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.533
SHS-70,11/10/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.063
AGR-30,11/10/2018,985.5,2299.5,76,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.417
SHS-135,11/10/2018,101.52,180.48,60,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.677
SHS-49,11/10/2018,251,1004,91,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.7
SHS-25,11/10/2018,301.4,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.322
SHS-199,11/10/2018,113.96,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.373
SHS-154,11/10/2018,116.16,246.84,70,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.875
SHS-261,11/10/2018,586.5,564.48,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.285
SHS-81,11/10/2018,369.41,534.54,64,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.543
SHS-72,11/10/2018,144.9,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.366
SHS-14,11/10/2018,245.1,1048.28,75,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.892
SHS-95,11/10/2018,119.7,491.04,80,185,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.652
AGR-14,11/11/2018,361.57,2925.43,89,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.58
SHS-70,11/11/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.991
AGR-30,11/11/2018,985.5,2299.5,70,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.237
SHS-135,11/11/2018,101.52,180.48,64,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.878
SHS-49,11/11/2018,251,1004,80,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.018
SHS-25,11/11/2018,301.4,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.757
SHS-199,11/11/2018,113.96,40.04,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.839
SHS-154,11/11/2018,115.2,244.8,68,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.666
SHS-261,11/11/2018,587.52,564.48,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.594
SHS-81,11/11/2018,371.46,534.54,59,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.965
SHS-72,11/11/2018,156.202,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,3.341
SHS-14,11/11/2018,387.72,1048.28,73,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.672
SHS-95,11/11/2018,252.96,491.04,66,185,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.243
AGR-14,11/12/2018,361.57,2925.43,89,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.763
SHS-70,11/12/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.485
AGR-30,11/12/2018,985.5,2299.5,70,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.403
SHS-135,11/12/2018,101.52,180.48,64,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.019
SHS-49,11/12/2018,251,1004,80,200.21,190,182,0.05,60800,32228,95,33,280,4800,LOW RISK,0.351
SHS-25,11/12/2018,301.4,1205.6,80,71.86,120,163,0.24,15700,8989.170863,210,2.75,800,1220,LOW RISK,0.172
SHS-199,11/12/2018,113.96,40.56,26,17.22,130,111.1,0.04,37000,20421.66054,65,9.75,250,2940,LOW RISK,0.267
SHS-154,11/12/2018,115.2,244.8,68,16.56,90,120,0.04,16100,9172,100,2.5,200,900,LOW RISK,0.712
SHS-261,11/12/2018,587.52,564.48,49,234.23,200,164.2,0.03,77000,41335.2719,45,26.75,190,5440,LOW RISK,0.948
SHS-81,11/12/2018,371.46,534.54,59,88,170,170.1,0.04,59700,29724.72844,65,44.5,150,5480,LOW RISK,0.609
SHS-72,11/12/2018,156.202,587.618,79,117.35,190,150.1,0.05,64600,32584.21275,95,51.25,150,6220,MODERATE RISK,4.409
SHS-14,11/12/2018,387.72,1048.28,73,75,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.428
SHS-95,11/12/2018,252.96,491.04,66,185,50,200,0.16,27400,15786.45549,43,119.75,883.28,1860,LOW RISK,0.714
AGR-14,11/13/2018,361.57,2925.43,89,166,230,210,0.05,62700,32843,90,61.25,262.3,6320,LOW RISK,0.824
SHS-70,11/13/2018,53.04,354.96,87,14.3,250,210,0.26,48000,26698.80963,125,3.6,341.6,3800,LOW RISK,0.567
AGR-30,11/13/2018,985.5,2299.5,70,269.1,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.541
SHS-135,11/13/2018,101.52,180.48,64,55.22,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.127
